,product,url,title,subtitle,description,pricing_method,capital_value,updated_date,sold_price,sold_date,confidence_band_1,estimated_value_1,confidence_band_2,estimated_value_2,confidence_band_3,estimated_value_3,confidence_band_4,estimated_value_4,valuation_date,land_value,improvement_value,bedroom,bathroom,floor_area,land_area,title_type,garage
0,"Last sold on
      28/05/20251 Pitt Street, North Dunedin1012m2$225,000(last sale price)",https://www.realestate.co.nz/property/1-pitt-street-north-dunedin-dunedin-city-otago/sgrm35fy,,,,,"$230,000",Low,"$225,000",28/05/2025,Low,$203K,Med,$237K,High,$268K,Updated 01/07/22,$230K,1 Jul 2022,"$230,000",$0,,,,1012m2,,
1,"Last sold on
      27/05/202558 Parklands Avenue, Mosgiel3$695,000(last sale price)",https://www.realestate.co.nz/property/58-parklands-avenue-mosgiel-dunedin-city-otago/8vryf7ms,,,,,"$690,000",Low,"$695,000",27/05/2025,Low,$650K,Med,$685K,High,$709K,Updated 01/07/22,$690K,1 Jul 2022,"$215,000","$475,000",3,,130m2,,,2
2,"Last sold on
      23/05/2025267 Macandrew Road, Forbury31491m2$470,000(last sale price)",https://www.realestate.co.nz/property/267-macandrew-road-forbury-dunedin-city-otago/y73lpc3r,,,,,"$650,000",Low,"$470,000",23/05/2025,Low,$566K,Med,$609K,High,$655K,Updated 01/07/22,$650K,1 Jul 2022,"$370,000","$280,000",3,1,120m2,491m2,,
3,"Last sold on
      16/05/202521 Seaview Terrace, Kew31579m2$488,000(last sale price)",https://www.realestate.co.nz/property/21-seaview-terrace-kew-dunedin-city-otago/2zwsplyr,,,,,"$580,000",Low,"$488,000",16/05/2025,Low,$518K,Med,$541K,High,$570K,Updated 01/07/22,$580K,1 Jul 2022,"$325,000","$255,000",3,1,130m2,579m2,,1
4,"Last sold on
      16/05/202530 Mcfadden Drive, Mosgiel31670m2$715,000(last sale price)",https://www.realestate.co.nz/property/30-mcfadden-drive-mosgiel-dunedin-city-otago/vw93bzks,,,,,"$910,000",Low,"$715,000",16/05/2025,Low,$810K,Med,$872K,High,$942K,Updated 01/07/22,$910K,1 Jul 2022,"$370,000","$540,000",3,1,200m2,670m2,,2
5,"Last sold on
      16/05/202520 Holm Avenue, Broad Bay321362m2$1,200,000(last sale price)",https://www.realestate.co.nz/property/20-holm-avenue-broad-bay-dunedin-city-otago/p78twf7r,,,,,"$1,250,000",Low,"$1,200,000",16/05/2025,Low,$1.12M,Med,$1.19M,High,$1.26M,Updated 01/07/22,$1.25M,1 Jul 2022,"$405,000","$845,000",3,2,265m2,1362m2,,2
6,"Last sold on
      16/05/202516 Balmain Street, Halfway Bush33664m2$640,000(last sale price)",https://www.realestate.co.nz/property/16-balmain-street-halfway-bush-dunedin-city-otago/b9ftc4hr,,,,,"$610,000",Low,"$640,000",16/05/2025,Low,$466K,Med,$492K,High,$522K,Updated 01/07/22,$610K,1 Jul 2022,"$285,000","$325,000",3,3,80m2,664m2,,
7,"Last sold on
      15/05/202542 Hope Street, Dunedin Central3175m2$595,000(last sale price)",https://www.realestate.co.nz/property/42-hope-street-dunedin-central-dunedin-city-otago/7l5xw1nr,,,,,"$580,000",Low,"$595,000",15/05/2025,Low,$319K,Med,$353K,High,$398K,Updated 01/07/22,$580K,1 Jul 2022,"$75,000","$505,000",3,1,119m2,75m2,,
8,"Last sold on
      13/05/202522 Kura Place, Mosgiel32620m2$935,000(last sale price)",https://www.realestate.co.nz/property/22-kura-place-mosgiel-dunedin-city-otago/k2k2k2js,,,,,"$930,000",Low,"$935,000",13/05/2025,Low,$912K,Med,$945K,High,$1M,Updated 01/07/22,$930K,1 Jul 2022,"$400,000","$530,000",3,2,247m2,620m2,,2
9,"Last sold on
      09/05/202520 Jensen Street, Green Island31675m2$509,000(last sale price)",https://www.realestate.co.nz/property/20-jensen-street-green-island-dunedin-city-otago/x18l1kbs,,,,,"$465,000",Low,"$509,000",9/05/2025,Low,$424K,Med,$449K,High,$482K,Updated 01/07/22,$465K,1 Jul 2022,"$280,000","$185,000",3,1,124m2,675m2,,
