,page,product,link
0,1,"Last sold on
      28/05/20251 Pitt Street, North Dunedin1012m2$225,000(last sale price)",https://www.realestate.co.nz/property/1-pitt-street-north-dunedin-dunedin-city-otago/sgrm35fy
1,1,"Last sold on
      27/05/202558 Parklands Avenue, Mosgiel3$695,000(last sale price)",https://www.realestate.co.nz/property/58-parklands-avenue-mosgiel-dunedin-city-otago/8vryf7ms
2,1,"Last sold on
      23/05/2025267 Macandrew Road, Forbury31491m2$470,000(last sale price)",https://www.realestate.co.nz/property/267-macandrew-road-forbury-dunedin-city-otago/y73lpc3r
3,1,"Last sold on
      16/05/202521 Seaview Terrace, Kew31579m2$488,000(last sale price)",https://www.realestate.co.nz/property/21-seaview-terrace-kew-dunedin-city-otago/2zwsplyr
4,1,"Last sold on
      16/05/202530 Mcfadden Drive, Mosgiel31670m2$715,000(last sale price)",https://www.realestate.co.nz/property/30-mcfadden-drive-mosgiel-dunedin-city-otago/vw93bzks
5,1,"Last sold on
      16/05/202520 Holm Avenue, Broad Bay321362m2$1,200,000(last sale price)",https://www.realestate.co.nz/property/20-holm-avenue-broad-bay-dunedin-city-otago/p78twf7r
6,1,"Last sold on
      16/05/202516 Balmain Street, Halfway Bush33664m2$640,000(last sale price)",https://www.realestate.co.nz/property/16-balmain-street-halfway-bush-dunedin-city-otago/b9ftc4hr
7,1,"Last sold on
      15/05/202542 Hope Street, Dunedin Central3175m2$595,000(last sale price)",https://www.realestate.co.nz/property/42-hope-street-dunedin-central-dunedin-city-otago/7l5xw1nr
8,1,"Last sold on
      13/05/202522 Kura Place, Mosgiel32620m2$935,000(last sale price)",https://www.realestate.co.nz/property/22-kura-place-mosgiel-dunedin-city-otago/k2k2k2js
9,1,"Last sold on
      09/05/202520 Jensen Street, Green Island31675m2$509,000(last sale price)",https://www.realestate.co.nz/property/20-jensen-street-green-island-dunedin-city-otago/x18l1kbs
10,1,"Last sold on
      09/05/202516 Cosy Dell Road, North Dunedin63208m2$958,000(last sale price)",https://www.realestate.co.nz/property/16-cosy-dell-road-north-dunedin-dunedin-city-otago/c1l2fqrr
11,1,"Last sold on
      09/05/202543 Main Road, Fairfield42731m2$900,000(last sale price)",https://www.realestate.co.nz/property/43-main-road-fairfield-dunedin-city-otago/prqlc1ds
12,1,"Last sold on
      09/05/202557 Helena Street, Forbury21$363,000(last sale price)",https://www.realestate.co.nz/property/57-helena-street-forbury-dunedin-city-otago/ktvpbs1r
13,1,"Last sold on
      09/05/202517 Bolton Street, East Otago4831m2$125,000(last sale price)",https://www.realestate.co.nz/property/17-bolton-street-east-otago-dunedin-city-otago/j8s486bs
14,1,"Last sold on
      09/05/2025114 Argyle Street, Mosgiel41890m2$750,000(last sale price)",https://www.realestate.co.nz/property/114-argyle-street-mosgiel-dunedin-city-otago/bc2gldms
15,1,"Last sold on
      08/05/20259 Camden Grove, Maia32664m2$1,154,000(last sale price)",https://www.realestate.co.nz/property/9-camden-grove-maia-dunedin-city-otago/WLM9zCtXk
16,1,"Recently sold106 Ashmore Street, Halfway Bush31622m2Price is not yet confirmed",https://www.realestate.co.nz/property/106-ashmore-street-halfway-bush-dunedin-city-otago/7l5xw1hr
17,1,"Last sold on
      06/05/202513 Argyle Street, Mornington31387m2$530,000(last sale price)",https://www.realestate.co.nz/property/13-argyle-street-mornington-dunedin-city-otago/7m1fv7lr
18,1,"Last sold on
      06/05/202531 Stanley Street, Kenmure31458m2$555,000(last sale price)",https://www.realestate.co.nz/property/31-stanley-street-kenmure-dunedin-city-otago/p4snqzmr
19,1,"Last sold on
      05/05/2025115 Hagart-alexander Drive, Mosgiel31602m2$620,000(last sale price)",https://www.realestate.co.nz/property/115-hagart-alexander-drive-mosgiel-dunedin-city-otago/5p153vns
20,2,"Last sold on
      02/05/202523 Delphic Street, Sawyers Bay31768m2$615,000(last sale price)",https://www.realestate.co.nz/property/23-delphic-street-sawyers-bay-dunedin-city-otago/5hyg3t5q
21,2,"Last sold on
      01/05/2025235 Gladstone Road North, Mosgiel31809m2$586,250(last sale price)",https://www.realestate.co.nz/property/235-gladstone-road-north-mosgiel-dunedin-city-otago/c2b7ps9v
22,2,"Last sold on
      01/05/202598C Factory Road, Mosgiel11106m2$420,000(last sale price)",https://www.realestate.co.nz/property/98c-factory-road-mosgiel-dunedin-city-otago/n5X8gnlYk
23,2,"Last sold on
      30/04/202513 Maryhill Terrace, Maryhill31455m2$575,000(last sale price)",https://www.realestate.co.nz/property/13-maryhill-terrace-maryhill-dunedin-city-otago/n0kb9fmr
24,2,"Last sold on
      30/04/202542A Ayr Street, Mosgiel31130m2$515,000(last sale price)",https://www.realestate.co.nz/property/42a-ayr-street-mosgiel-dunedin-city-otago/s2nkr7ls
25,2,"Last sold on
      30/04/202598B Victoria Road, Saint Kilda21$380,000(last sale price)",https://www.realestate.co.nz/property/98b-victoria-road-saint-kilda-dunedin-city-otago/cy3w874r
