,page,product,link
0,1,"Save this listing
OPEN HOME TODAY
108 Marlow Street, Musselburgh
Offers Over $499,000
4
1
House",https://www.realestate.co.nz/42825406/residential/sale/108-marlow-street-musselburgh
1,1,"Save this listing
OPEN HOME TODAY
28 Bathgate Street, South Dunedin
Negotiation
3
2
House",https://www.realestate.co.nz/42809209/residential/sale/28-bathgate-street-south-dunedin
2,1,"Save this listing
248A Tirohanga Road, North Taieri
Negotiation
4
2
Lifestyle Property",https://www.realestate.co.nz/42790427/residential/sale/248a-tirohanga-road-north-taieri
3,1,"OPEN HOME TODAY
161 Main Road, Fairfield
Negotiation
2",https://www.realestate.co.nz/42800808/residential/sale/161-main-road-fairfield
4,1,,https://www.realestate.co.nz/42826534/residential/sale/27-normanby-street-saint-kilda
5,1,,https://www.realestate.co.nz/42766195/residential/sale/11-ings-avenue-saint-clair
6,1,,https://www.realestate.co.nz/42817914/residential/sale/22-glenelg-street-bradford
7,1,,https://www.realestate.co.nz/42826192/residential/sale/101-eglinton-road-mornington
8,1,,https://www.realestate.co.nz/42785233/residential/sale/2l-clayton-street-saint-clair
9,1,,https://www.realestate.co.nz/42804784/residential/sale/51-manor-place-dunedin-central
10,1,,https://www.realestate.co.nz/42826535/residential/sale/1-copeland-street-brighton
11,1,,https://www.realestate.co.nz/42822143/residential/sale/625-andersons-bay-road-musselburgh
12,1,,https://www.realestate.co.nz/42750192/residential/sale/30-stonelaw-terrace-maori-hill
13,1,,https://www.realestate.co.nz/42773358/residential/sale/930-harington-point-road-harington-point
14,1,,https://www.realestate.co.nz/42817423/residential/sale/5-montague-street-north-east-valley
15,1,,https://www.realestate.co.nz/42817613/residential/sale/59-burns-street-south-dunedin
16,1,,https://www.realestate.co.nz/42795384/residential/sale/975-harington-point-road-harington-point
17,1,,https://www.realestate.co.nz/42818246/residential/sale/81-gilkison-street-halfway-bush
18,1,"Share this listing
Save this listing
Listed 10 months ago
110 Melbourne Street, South Dunedin
INCREDIBLE DEVELOPMENT OPPORTUNITY
7724m2
Section
$5,400,000 Plus GST (if any)",https://www.realestate.co.nz/42617405/residential/sale/110-melbourne-street-south-dunedin
19,2,"Save this listing
OPEN HOME TODAY
24 Antrim Street, Normanby
Enquiries Over $469,000
3
1
House",https://www.realestate.co.nz/42818440/residential/sale/24-antrim-street-normanby
20,2,"Save this listing
OPEN HOME TODAY
23 Forfar Street, Mosgiel
Deadline Sale
3
1
Townhouse",https://www.realestate.co.nz/42825008/residential/sale/23-forfar-street-mosgiel
21,2,"Save this listing
14 Junction Road, Ravensbourne
$170,000
Section",https://www.realestate.co.nz/42787688/residential/sale/14-junction-road-ravensbourne
22,2,"1 Glenross Street, Glenross
Enquiries Over $539,000
3",https://www.realestate.co.nz/42812047/residential/sale/1-glenross-street-glenross
23,2,,https://www.realestate.co.nz/42750192/residential/sale/30-stonelaw-terrace-maori-hill
24,2,,https://www.realestate.co.nz/42826534/residential/sale/27-normanby-street-saint-kilda
25,2,,https://www.realestate.co.nz/42809739/residential/sale/5-torr-street-vauxhall
26,2,,https://www.realestate.co.nz/42817323/residential/sale/14-seaview-terrace-kew
27,2,,https://www.realestate.co.nz/42799281/residential/sale/50-anderton-crescent-mosgiel
28,2,,https://www.realestate.co.nz/42826274/residential/sale/136-riselaw-road-calton-hill
29,2,,https://www.realestate.co.nz/42744500/residential/sale/64-grimness-street-karitane
30,2,,https://www.realestate.co.nz/42816394/residential/sale/313-brighton-road-waldronville
31,2,,https://www.realestate.co.nz/42817423/residential/sale/5-montague-street-north-east-valley
32,2,,https://www.realestate.co.nz/42817823/residential/sale/29-franklin-street-dalmore
33,2,,https://www.realestate.co.nz/42748794/residential/sale/a-13-quarry-road-mosgiel
34,2,,https://www.realestate.co.nz/42826540/residential/sale/55-murray-street-mosgiel
35,2,,https://www.realestate.co.nz/42790427/residential/sale/248a-tirohanga-road-north-taieri
36,2,,https://www.realestate.co.nz/42824735/residential/sale/51-bayfield-road-andersons-bay
37,2,"Share this listing
Save this listing
Listed 10 months ago
110 Melbourne Street, South Dunedin
INCREDIBLE DEVELOPMENT OPPORTUNITY
7724m2
Section
$5,400,000 Plus GST (if any)",https://www.realestate.co.nz/42617405/residential/sale/110-melbourne-street-south-dunedin
38,3,"Save this listing
30 Richardson Street, Saint Kilda
Negotiation
3
1
House",https://www.realestate.co.nz/42817893/residential/sale/30-richardson-street-saint-kilda
