suburb,suburb_category
Musselburgh,Other
South Dunedin,South Dunedin
North Taieri,Other
Fairfield,Other
Saint Kilda,South Dunedin
Saint Clair,Expensive surburb
Bradford,In consideration
Mornington,In consideration
Dunedin Central,Expensive surburb
Brighton,In consideration
Maori Hill,Expensive surburb
Harington Point,In consideration
North East Valley,In consideration
Halfway Bush,In consideration
Normanby,In consideration
Mosgiel,Expensive surburb
Ravensbourne,In consideration
Glenross,In consideration
Vauxhall,In consideration
Kew,In consideration
Calton Hill,In consideration
Karitane,Other
Waldronville,Other
Dalmore,In consideration
Andersons Bay,In consideration
Waikouaiti,Other
Kaikorai,In consideration
Helensburgh,In consideration
Brockville,In consideration
Waverley,Expensive surburb
Woodhaugh,Other
Saint Leonards,In consideration
Pine Hill,In consideration
Belleknowes,Expensive surburb
Warrington,Other
Shiel Hill,In consideration
Balaclava,In consideration
Liberton,In consideration
Outram,Expensive surburb
Green Island,In consideration
Caversham,South Dunedin
North Dunedin,In consideration
Tainui,Other
Roslyn,Expensive surburb
Blackhead,Other
Ocean Grove,In consideration
Upper Waitati,Other
East Taieri,Other
Concord,In consideration
Wakari,In consideration
Abbotsford,In consideration
